,0,1,2,3,4,5,6,7
53,52.0,52,52,Kaohsiung,Charleston SC,46,THE Alliance ‐ North America East Coast‐EC4,"Asia: Taiwan, China, Hong Kong"
54,53.0,53,53,Kingston JM,Charleston SC,5,ZIM ‐‐ Alianca/Hamburg Sud/Maersk Line/MSC/SeaLand ‐ ZCP,Caribbean/North Coast of South America
55,54.0,54,54,La Spezia,Charleston SC,17,COSCO/ONE ‐‐ OOCL ‐ EMA,Mediterranean
56,55.0,55,55,Le Havre,Charleston SC,15,OCEAN Alliance ‐ Victory Bridge‐VICTORY,North Europe
57,56.0,56,56,Le Havre,Charleston SC,19,OCEAN Alliance ‐ Liberty Bridge‐LIBERTY,North Europe
58,57.0,57,57,Le Havre,Charleston SC,20,2M Alliance ‐‐ Alianca/Hamburg Sud ‐ NEUATL2/TA2,North Europe
59,58.0,58,58,Leghorn,Charleston SC,27,2M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5,Mediterranean
60,59.0,59,59,London Gateway,Charleston SC,9,THE Alliance ‐ Transatlantic Loop 3‐AL3,North Europe
61,60.0,60,60,Manzanillo MEX,Charleston SC,12,Sea Lead/TS Lines ‐ Asia East Coast‐AEC,Mexico
62,61.0,61,61,Manzanillo Panama,Charleston SC,10,THE Alliance ‐ North America East Coast‐EC1,Central America
63,62.0,62,62,Manzanillo Panama,Charleston SC,11,Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1,Central America
64,63.0,63,63,Manzanillo Panama,Charleston SC,12,Hamburg Sud/Hapag‐Lloyd ‐‐ APL/CMA CGM/Maersk Line/SeaLand ‐ AGAS/USW,Central America
65,64.0,64,64,Melbourne AU,Charleston SC,42,Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1,Oceania
66,65.0,65,65,Montevideo,Charleston SC,33,Hamburg Sud/Hapag‐Lloyd ‐‐ Alianca/Maersk Line/SeaLand ‐ TANGO/SEC,East Coast of South America
67,66.0,66,66,Mumbai (Nhava Sheva),Charleston SC,26,Maersk Line ‐‐ APL/SeaLand ‐ MECL1,Indian Subcontinent
68,67.0,67,67,Mumbai (Nhava Sheva),Charleston SC,26,MSC ‐ Indus Express,Indian Subcontinent
69,68.0,68,68,Mumbai (Nhava Sheva),Charleston SC,40,Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAMEX,Indian Subcontinent
70,69.0,69,69,Mundra,Charleston SC,24,MSC ‐ Indus Express,Indian Subcontinent
71,70.0,70,70,Mundra,Charleston SC,37,Hapag‐Lloyd/CMA CGM/ONE/OOCL ‐‐ ANL/APL ‐ India East Coast Express‐INDAMEX,Indian Subcontinent
72,71.0,71,71,Nansha,Charleston SC,41,Sea Lead/TS Lines ‐ Asia East Coast‐AEC,"Asia: Taiwan, China, Hong Kong"
73,72.0,72,72,Napier,Charleston SC,34,Maersk Line ‐‐ Alianca/Hamburg Sud/Hapag‐Lloyd/MSC/SeaLand ‐ OC1,Oceania
74,73.0,73,73,Naples IT,Charleston SC,30,2M Alliance ‐‐ Hamburg Sud ‐ MEDUSEC/TA5,Mediterranean
75,74.0,74,74,Ningbo,Charleston SC,30,MSC ‐ Santana Service,"Asia: Taiwan, China, Hong Kong"
76,75.0,75,75,Ningbo,Charleston SC,32,ZIM ‐‐ Alianca/Hamburg Sud/Maersk Line/MSC/SeaLand ‐ ZCP,"Asia: Taiwan, China, Hong Kong"
0,, , ,Origin,Destination,Transit,Service,Origin Trade Region
1,0.0,0,0,Ningbo,Charleston SC,33,Maersk/SeaLand ‐ Asia‐USEC‐TP20 rtw,"Asia: Taiwan, China, Hong Kong"
